Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.54      3.24     0.02  3242424     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__small_size_threshold()
  0.54      3.26     0.02  1621212     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&)
  0.54      3.28     0.02  1026371     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long long, unsigned long long, std::__detail::_Hash_node<int, false>*, unsigned long long)
  0.54      3.30     0.02  1026371     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::operator++()
  0.54      3.32     0.02   594841     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&)
  0.54      3.34     0.02    20000     0.00     0.00  double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double)
  0.27      3.35     0.01 25600000     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.27      3.36     0.01  4062937     0.00     0.00  long long const& Eigen::internal::array_get<0ull, long long, 2ull>(std::array<long long, 2ull> const&)
  0.27      3.37     0.01  4062937     0.00     0.00  long long const& std::get<0ull, long long, 2ull>(std::array<long long, 2ull> const&)
  0.27      3.38     0.01  3878089     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.27      3.39     0.01  3520298     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.27      3.40     0.01  3494214     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  0.27      3.41     0.01  3269571     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.27      3.42     0.01  3269571     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_M_get()
  0.27      3.43     0.01  3242424     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.27      3.44     0.01  2256877     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&, unsigned long long) const
  0.27      3.45     0.01  1828317     0.00     0.00  Eigen::TensorStorage<int, Eigen::DSizes<long long, 2>, 0>::dimensions() const
  0.27      3.46     0.01  1821412     0.00     0.00  Eigen::Tensor<int, 2, 0, long long>::operator()(std::array<long long, 2ull> const&)
  0.27      3.47     0.01  1701292     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_Node_iterator_base(std::__detail::_Hash_node<int, false>*)
  0.27      3.48     0.01  1621212     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::size() const
  0.27      3.49     0.01  1621212     0.00     0.00  int& std::__detail::_Identity::operator()<int&>(int&) const
  0.27      3.50     0.01  1581172     0.00     0.00  std::__detail::_Hash_node_base* std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node_tr<int>(unsigned long long, int const&, unsigned long long) const
  0.27      3.51     0.01  1269304     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.27      3.52     0.01  1237337     0.00     0.00  bool std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_key_equals_tr<int>(int const&, std::__detail::_Hash_node_value<int, false> const&) const
  0.27      3.53     0.01  1161868     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.27      3.54     0.01  1027011     0.00     0.00  HardLattice::compute_weight(int) const
  0.27      3.55     0.01  1026371     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long long, std::__detail::_Hash_node<int, false>*)
  0.27      3.56     0.01  1026371     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>&, bool, true>(std::__detail::_Node_iterator<int, true, false>&, bool&&)
  0.27      3.57     0.01  1026371     0.00     0.00  std::__detail::_Hash_node<int, false>* std::addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&)
  0.27      3.58     0.01   814568     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.27      3.59     0.01   634652     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int const, int>(int const*, int const*, int*)
  0.27      3.60     0.01   215946     0.00     0.00  Ship::Ship(Ship const&)
  0.27      3.61     0.01   203400     0.00     0.00  Eigen::Tensor<std::vector<int, std::allocator<int> >, 2, 0, long long>::coeffRef(std::array<long long, 2ull> const&)
  0.27      3.62     0.01   200200     0.00     0.00  void std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_range<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>)
  0.27      3.63     0.01   187961     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double const&) const
  0.27      3.64     0.01    95229     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_buckets(std::__detail::_Hash_node_base**, unsigned long long)
  0.27      3.65     0.01    40040     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_nodes(std::__detail::_Hash_node<int, false>*)
  0.27      3.66     0.01    40000     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.27      3.67     0.01    20000     0.00     0.00  GameStateManager::sample_ship()
  0.27      3.68     0.01    20000     0.00     0.00  double* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<float*, double*>(float*, float*, double*)
  0.27      3.69     0.01    20000     0.00     0.00  std::discrete_distribution<int>::param_type::_M_initialize()
  0.27      3.70     0.01    20000     0.00     0.00  double* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, double*>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, double*)
  0.27      3.71     0.01                             operator new(unsigned long long)
  0.00      3.71     0.00 14921851     0.00     0.00  operator new(unsigned long long, void*)
  0.00      3.71     0.00 12800000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&)
  0.00      3.71     0.00 12800000     0.00     0.00  std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator++()
  0.00      3.71     0.00  4575174     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00      3.71     0.00  4062424     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long long) const
  0.00      3.71     0.00  3919163     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      3.71     0.00  3880399     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00      3.71     0.00  3494214     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr() const
  0.00      3.71     0.00  3494214     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00      3.71     0.00  3243704     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<int> >::__small_size_threshold()
  0.00      3.71     0.00  3242424     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      3.71     0.00  3079113     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr()
  0.00      3.71     0.00  3079113     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr()
  0.00      3.71     0.00  2256877     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      3.71     0.00  2031212     0.00     0.00  Eigen::internal::tensor_index_linearization_helper<long long, 2ll, 0ll, false>::run(std::array<long long, 2ull> const&, std::array<long long, 2ull> const&)
  0.00      3.71     0.00  2031212     0.00     0.00  Eigen::internal::tensor_index_linearization_helper<long long, 2ll, 1ll, false>::run(std::array<long long, 2ull> const&, std::array<long long, 2ull> const&)
  0.00      3.71     0.00  2031212     0.00     0.00  long long const& Eigen::internal::array_get<1ull, long long, 2ull>(std::array<long long, 2ull> const&)
  0.00      3.71     0.00  2031212     0.00     0.00  Eigen::DSizes<long long, 2>::IndexOfColMajor(std::array<long long, 2ull> const&) const
  0.00      3.71     0.00  2031212     0.00     0.00  long long const& std::get<1ull, long long, 2ull>(std::array<long long, 2ull> const&)
  0.00      3.71     0.00  1827812     0.00     0.00  Eigen::Tensor<int, 2, 0, long long>::linearizedIndex(std::array<long long, 2ull> const&) const
  0.00      3.71     0.00  1821412     0.00     0.00  Eigen::TensorStorage<int, Eigen::DSizes<long long, 2>, 0>::data()
  0.00      3.71     0.00  1821412     0.00     0.00  Eigen::Tensor<int, 2, 0, long long>::coeffRef(std::array<long long, 2ull> const&)
  0.00      3.71     0.00  1821412     0.00     0.00  int& Eigen::Tensor<int, 2, 0, long long>::operator()<>(long long, long long)
  0.00      3.71     0.00  1716441     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long long) const
  0.00      3.71     0.00  1716441     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long long, unsigned long long) const
  0.00      3.71     0.00  1701292     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*)
  0.00      3.71     0.00  1621852     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      3.71     0.00  1621212     0.00     0.00  HardLattice::update_energy(int, int, int) const
  0.00      3.71     0.00  1621212     0.00     0.00  unsigned long long std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code_tr<int>(int const&) const
  0.00      3.71     0.00  1621212     0.00     0.00  int& std::__detail::_ConvertToValueType<std::__detail::_Identity, int>::operator()<int&>(int&) const
  0.00      3.71     0.00  1621212     0.00     0.00  std::__conditional<std::__and_<std::__is_nothrow_invocable<std::hash<int>&, int const&>, std::__not_<std::__is_nothrow_invocable<std::hash<int>&, int&> > >::value>::type<int, int&> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_S_forward_key<int&>(int&)
  0.00      3.71     0.00  1621212     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_aux<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&)
  0.00      3.71     0.00  1621212     0.00     0.00  std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>)
  0.00      3.71     0.00  1581172     0.00     0.00  std::__detail::_Hash_node<int, false>* std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node_tr<int>(unsigned long long, int const&, unsigned long long) const
  0.00      3.71     0.00  1280596     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      3.71     0.00  1275073     0.00     0.00  std::__new_allocator<int>::~__new_allocator()
  0.00      3.71     0.00  1269304     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      3.71     0.00  1269304     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.71     0.00  1269304     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      3.71     0.00  1238284     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&) const
  0.00      3.71     0.00  1237343     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::equal_to<int>, true>::_M_cget() const
  0.00      3.71     0.00  1237343     0.00     0.00  std::equal_to<int>::operator()(int const&, int const&) const
  0.00      3.71     0.00  1237337     0.00     0.00  bool std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_equals_tr<int>(int const&, unsigned long long, std::__detail::_Hash_node_value<int, false> const&) const
  0.00      3.71     0.00  1237337     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_M_eq() const
  0.00      3.71     0.00  1237337     0.00     0.00  std::__detail::_Hashtable_base<int, int, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, true, true> >::_S_equals(unsigned long long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      3.71     0.00  1066411     0.00     0.00  std::__detail::operator!=(std::__detail::_Node_iterator_base<int, false> const&, std::__detail::_Node_iterator_base<int, false> const&)
  0.00      3.71     0.00  1027651     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_state() const
  0.00      3.71     0.00  1027651     0.00     0.00  std::__detail::_Hash_node_base::_Hash_node_base()
  0.00      3.71     0.00  1027651     0.00     0.00  std::__detail::_RehashStateGuard<std::__detail::_Prime_rehash_policy>::_RehashStateGuard(std::__detail::_Prime_rehash_policy&)
  0.00      3.71     0.00  1027651     0.00     0.00  std::__detail::_RehashStateGuard<std::__detail::_Prime_rehash_policy>::~_RehashStateGuard()
  0.00      3.71     0.00  1027651     0.00     0.00  std::__detail::_Prime_rehash_policy* std::__addressof<std::__detail::_Prime_rehash_policy>(std::__detail::_Prime_rehash_policy&)
  0.00      3.71     0.00  1027011     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long long)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::operator()<int&>(int&) const
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Node_iterator<int, true, false>::operator*() const
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node_code_cache<false>&, unsigned long long) const
  0.00      3.71     0.00  1026371     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::_Scoped_node(std::__detail::_Hash_node<int, false>*, std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >*)
  0.00      3.71     0.00  1026371     0.00     0.00  std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::~_Scoped_node()
  0.00      3.71     0.00  1026371     0.00     0.00  std::__new_allocator<std::__detail::_Hash_node<int, false> >::deallocate(std::__detail::_Hash_node<int, false>*, unsigned long long)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__new_allocator<std::__detail::_Hash_node<int, false> >::allocate(unsigned long long, void const*)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__ptr_traits_ptr_to<std::__detail::_Hash_node<int, false>*, std::__detail::_Hash_node<int, false>, false>::pointer_to(std::__detail::_Hash_node<int, false>&)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hash_node<int, false>::_Hash_node()
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::__node_ptr std::__detail::_NodeBuilder<std::__detail::_Identity>::_S_build<int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_allocate_node<int&>(int&)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node(std::__detail::_Hash_node<int, false>*)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_deallocate_node_ptr(std::__detail::_Hash_node<int, false>*)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Node_iterator_base<int, false>::_M_incr()
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__addressof<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>&)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Hash_node<int, false>* std::__to_address<std::__detail::_Hash_node<int, false> >(std::__detail::_Hash_node<int, false>*)
  0.00      3.71     0.00  1026371     0.00     0.00  std::__detail::_Node_iterator<int, true, false>& std::forward<std::__detail::_Node_iterator<int, true, false>&>(std::remove_reference<std::__detail::_Node_iterator<int, true, false>&>::type&)
  0.00      3.71     0.00   655304     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      3.71     0.00   648421     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      3.71     0.00   642898     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long long)
  0.00      3.71     0.00   642898     0.00     0.00  std::__new_allocator<int>::deallocate(int*, unsigned long long)
  0.00      3.71     0.00   642898     0.00     0.00  std::__new_allocator<int>::allocate(unsigned long long, void const*)
  0.00      3.71     0.00   637696     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      3.71     0.00   637696     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      3.71     0.00   637696     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long long)
  0.00      3.71     0.00   637696     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      3.71     0.00   637696     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      3.71     0.00   637696     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      3.71     0.00   637696     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      3.71     0.00   636015     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      3.71     0.00   636014     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long long)
  0.00      3.71     0.00   636014     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long long, std::allocator<int> const&)
  0.00      3.71     0.00   634652     0.00     0.00  std::vector<int, std::allocator<int> >::end() const
  0.00      3.71     0.00   634652     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      3.71     0.00   634652     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      3.71     0.00   634652     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
